data/hotspot/name,RSSI,SNR
orbiting-mulberry-rattlesnake,-120,-9.5
creamy-banana-beetle,-125,-10.19999981
creamy-banana-beetle,-126,-12.19999981
creamy-banana-beetle,-126,-11.80000019
creamy-banana-beetle,-127,-13.19999981
salty-fleece-giraffe,-131,-16.79999924
orbiting-mulberry-rattlesnake,-119,-9.5
orbiting-mulberry-rattlesnake,-120,-11.19999981
orbiting-mulberry-rattlesnake,-120,-10
orbiting-mulberry-rattlesnake,-119,-10.19999981
orbiting-mulberry-rattlesnake,-120,-8.800000191
orbiting-mulberry-rattlesnake,-120,-10.19999981
creamy-banana-beetle,-129,-15.19999981
orbiting-mulberry-rattlesnake,-120,-11
orbiting-mulberry-rattlesnake,-121,-10.19999981
orbiting-mulberry-rattlesnake,-120,-12.80000019
orbiting-mulberry-rattlesnake,-120,-12
orbiting-mulberry-rattlesnake,-119,-12.19999981
orbiting-mulberry-rattlesnake,-121,-14.19999981
creamy-banana-beetle,-130,-16.20000076
orbiting-mulberry-rattlesnake,-119,-11.19999981
brilliant-macaroon-mantis,-128,-12
orbiting-mulberry-rattlesnake,-121,-13.80000019
creamy-banana-beetle,-127,-12.19999981
orbiting-mulberry-rattlesnake,-121,-11
creamy-banana-beetle,-130,-15.19999981
orbiting-mulberry-rattlesnake,-118,-10.80000019
orbiting-mulberry-rattlesnake,-120,-10.5
orbiting-mulberry-rattlesnake,-120,-8.800000191
creamy-banana-beetle,-128,-13.5
creamy-banana-beetle,-129,-14.5
creamy-banana-beetle,-129,-15
orbiting-mulberry-rattlesnake,-120,-11
orbiting-mulberry-rattlesnake,-120,-12.5
orbiting-mulberry-rattlesnake,-119,-13
funny-jetblack-finch,-103,-9
orbiting-mulberry-rattlesnake,-119,-11
orbiting-mulberry-rattlesnake,-120,-10.5
orbiting-mulberry-rattlesnake,-121,-11.19999981
orbiting-mulberry-rattlesnake,-119,-12.19999981
creamy-banana-beetle,-130,-16.20000076
orbiting-mulberry-rattlesnake,-120,-11
orbiting-mulberry-rattlesnake,-120,-11.80000019
orbiting-mulberry-rattlesnake,-118,-12
orbiting-mulberry-rattlesnake,-121,-11.19999981
orbiting-mulberry-rattlesnake,-120,-11.5
orbiting-mulberry-rattlesnake,-120,-11.19999981
orbiting-mulberry-rattlesnake,-120,-10.80000019
orbiting-mulberry-rattlesnake,-120,-13.19999981
orbiting-mulberry-rattlesnake,-121,-14.19999981
orbiting-mulberry-rattlesnake,-120,-13.5
creamy-banana-beetle,-126,-12.5
orbiting-mulberry-rattlesnake,-120,-14.19999981
orbiting-mulberry-rattlesnake,-120,-13.19999981
orbiting-mulberry-rattlesnake,-118,-11.5
orbiting-mulberry-rattlesnake,-120,-10.19999981
orbiting-mulberry-rattlesnake,-120,-11
orbiting-mulberry-rattlesnake,-121,-8.800000191
orbiting-mulberry-rattlesnake,-119,-8.800000191
creamy-banana-beetle,-127,-12.80000019
orbiting-mulberry-rattlesnake,-120,-10
orbiting-mulberry-rattlesnake,-119,-8.5
orbiting-mulberry-rattlesnake,-120,-8.800000191
orbiting-mulberry-rattlesnake,-119,-9.800000191
orbiting-mulberry-rattlesnake,-121,-13
orbiting-mulberry-rattlesnake,-120,-10.19999981
creamy-banana-beetle,-126,-11.80000019
orbiting-mulberry-rattlesnake,-120,-11
orbiting-mulberry-rattlesnake,-120,-11.19999981
orbiting-mulberry-rattlesnake,-118,-9.800000191
orbiting-mulberry-rattlesnake,-120,-10.5
orbiting-mulberry-rattlesnake,-119,-11.19999981
orbiting-mulberry-rattlesnake,-120,-10.80000019
brilliant-macaroon-mantis,-125,-10.19999981
orbiting-mulberry-rattlesnake,-120,-15.19999981
creamy-banana-beetle,-120,-5.800000191
orbiting-mulberry-rattlesnake,-120,-12.19999981
orbiting-mulberry-rattlesnake,-121,-7
orbiting-mulberry-rattlesnake,-121,-11.19999981
orbiting-mulberry-rattlesnake,-120,-10.5
orbiting-mulberry-rattlesnake,-120,-8.800000191
orbiting-mulberry-rattlesnake,-121,-10.5
salty-fleece-giraffe,-131,-16.79999924
creamy-banana-beetle,-128,-14.19999981
orbiting-mulberry-rattlesnake,-120,-9
orbiting-mulberry-rattlesnake,-121,-10
orbiting-mulberry-rattlesnake,-120,-11
orbiting-mulberry-rattlesnake,-120,-9.5
orbiting-mulberry-rattlesnake,-120,-10.80000019
orbiting-mulberry-rattlesnake,-93,-9.5
creamy-banana-beetle,-122,-8
orbiting-mulberry-rattlesnake,-119,-9.5
orbiting-mulberry-rattlesnake,-121,-8.800000191
orbiting-mulberry-rattlesnake,-121,-9.5
orbiting-mulberry-rattlesnake,-120,-8.199999809
orbiting-mulberry-rattlesnake,-121,-12.5
orbiting-mulberry-rattlesnake,-119,-14.5
orbiting-mulberry-rattlesnake,-120,-14.19999981
creamy-banana-beetle,-126,-11.5
salty-fleece-giraffe,-131,-17.20000076
orbiting-mulberry-rattlesnake,-121,-9.5
orbiting-mulberry-rattlesnake,-119,-8.5
orbiting-mulberry-rattlesnake,-121,-11
orbiting-mulberry-rattlesnake,-120,-12
orbiting-mulberry-rattlesnake,-121,-11.5
creamy-banana-beetle,-126,-11.5
creamy-banana-beetle,-126,-12
orbiting-mulberry-rattlesnake,-119,-8.5
funny-jetblack-finch,-102,-8
creamy-banana-beetle,-125,-10.5
orbiting-mulberry-rattlesnake,-119,-9.5
orbiting-mulberry-rattlesnake,-119,-9
orbiting-mulberry-rattlesnake,-121,-8
orbiting-mulberry-rattlesnake,-119,-10.5
creamy-banana-beetle,-124,-9.800000191
orbiting-mulberry-rattlesnake,-120,-7.5
orbiting-mulberry-rattlesnake,-121,-12
orbiting-mulberry-rattlesnake,-120,-13.80000019
creamy-banana-beetle,-125,-10.5
orbiting-mulberry-rattlesnake,-121,-12.19999981
salty-fleece-giraffe,-131,-17.79999924
creamy-banana-beetle,-131,-17
orbiting-mulberry-rattlesnake,-121,-12.80000019
orbiting-mulberry-rattlesnake,-120,-14.5
orbiting-mulberry-rattlesnake,-120,-15
orbiting-mulberry-rattlesnake,-121,-13.80000019
creamy-banana-beetle,-124,-9.800000191
funny-jetblack-finch,-101,-7.199999809
salty-fleece-giraffe,-129,-15.5
creamy-banana-beetle,-127,-13
salty-fleece-giraffe,-129,-15.80000019
creamy-banana-beetle,-130,-16.79999924
funny-jetblack-finch,-102,-8
brilliant-macaroon-mantis,-126,-10.19999981
salty-fleece-giraffe,-130,-15.5
brilliant-macaroon-mantis,-121,-7.199999809
creamy-banana-beetle,-126,-12.19999981
orbiting-mulberry-rattlesnake,-119,-15.80000019
brilliant-macaroon-mantis,-123,-16.20000076
brilliant-macaroon-mantis,-125,-11.5
creamy-banana-beetle,-131,-17.5
orbiting-mulberry-rattlesnake,-121,-15.19999981
creamy-banana-beetle,-125,-11
